id,"gp","fund"
3,"上海景林资产管理有限公司","景林全球基金专享子基金1号"
4,"上海景林资产管理有限公司","景林全球基金专享子基金A期"
5,"上海景林资产管理有限公司","景林全球基金"
6,"上海景林资产管理有限公司","景林创新成长子基金5号"
7,"上海景林资产管理有限公司","景林创新成长子基金2号"
8,"上海景林资产管理有限公司","景林创新成长子基金3号"
9,"上海景林资产管理有限公司","景林定慧基金"
10,"上海景林资产管理有限公司","景林创新成长子基金1号"
11,"上海景林资产管理有限公司","景林创新成长基金"
12,"上海景林资产管理有限公司","上海景林业旭投资中心（有限合伙）"
13,"上海景林资产管理有限公司","上海景覃投资中心（有限合伙）"
14,"上海尚雅投资管理有限公司","尚雅尊享1号基金"
15,"上海尚雅投资管理有限公司","尚雅宏远体育专项投资基金"
16,"新沃股权投资基金管理（天津）有限公司","大连新沃嘉隆股权投资管理中心（有限合伙）"
17,"新沃股权投资基金管理（天津）有限公司","上海沃昌隆投资管理中心（有限合伙）"
18,"新沃股权投资基金管理（天津）有限公司","上海沃恒隆投资管理中心（有限合伙）"
19,"新沃股权投资基金管理（天津）有限公司","上海沃璞隆投资管理中心（有限合伙）"
20,"新沃股权投资基金管理（天津）有限公司","上海沃朝隆投资管理中心（有限合伙）"
21,"新沃股权投资基金管理（天津）有限公司","大连新沃央隆股权投资管理中心（有限合伙）"
22,"新沃股权投资基金管理（天津）有限公司","上海沃欣隆投资管理中心（有限合伙）"
23,"新沃股权投资基金管理（天津）有限公司","上海沃祥隆投资管理中心（有限合伙）"
24,"新沃股权投资基金管理（天津）有限公司","上海沃武隆投资管理中心（有限合伙）"
25,"新沃股权投资基金管理（天津）有限公司","大连新沃福隆股权投资管理中心（有限合伙）"
26,"新沃股权投资基金管理（天津）有限公司","上海沃鹤隆投资管理中心（有限合伙）"
27,"新沃股权投资基金管理（天津）有限公司","上海沃拓隆投资管理中心（有限合伙）"
28,"新沃股权投资基金管理（天津）有限公司","上海沃全隆投资管理中心（有限合伙）"
29,"新沃股权投资基金管理（天津）有限公司","上海沃文隆投资管理中心（有限合伙）"
30,"新沃股权投资基金管理（天津）有限公司","三亚新沃豪泰投资管理中心（有限合伙）"
31,"新沃股权投资基金管理（天津）有限公司","上海沃衡隆投资管理中心（有限合伙）"
32,"新沃股权投资基金管理（天津）有限公司","上海沃乾润投资管理中心（有限合伙）"
33,"新沃股权投资基金管理（天津）有限公司","长春市沣民乾始投资合伙企业（有限合伙）"
34,"新沃股权投资基金管理（天津）有限公司","长春市沣民坤厚投资合伙企业（有限合伙）"
35,"新沃股权投资基金管理（天津）有限公司","嘉兴沃安投资合伙企业（有限合伙）"
36,"新沃股权投资基金管理（天津）有限公司","嘉兴沃庆投资合伙企业（有限合伙）"
37,"新沃股权投资基金管理（天津）有限公司","上海沃标投资管理中心（有限合伙）"
38,"鼎晖股权投资管理（天津）有限公司","天津鼎晖元博股权投资基金 (有限合伙)"
39,"鼎晖股权投资管理（天津）有限公司","上海鼎晖嘉熙股权投资合伙企业（有限合伙）"
40,"鼎晖股权投资管理（天津）有限公司","天津鼎晖嘉尚股权投资合伙企业 (有限合伙)"
41,"鼎晖股权投资管理（天津）有限公司","天津鼎晖股权投资一期基金 (有限合伙)"
42,"鼎晖股权投资管理（天津）有限公司","天津鼎晖稳盈股权投资基金合伙企业（有限合伙）"
43,"鼎晖股权投资管理（天津）有限公司","天津鼎晖稳丰股权投资基金合伙企业（有限合伙）"
44,"鼎晖股权投资管理（天津）有限公司","宁波鼎一安鑫股权投资合伙企业（有限合伙）"
45,"广东中科招商创业投资管理有限责任公司","中山中科鸿业创业投资有限公司"
46,"广东中科招商创业投资管理有限责任公司","中山中科南头创业投资有限公司"
47,"广东中科招商创业投资管理有限责任公司","广东中科白云新兴产业创业投资基金有限公司"
48,"广东中科招商创业投资管理有限责任公司","中山中科股权投资有限公司"
49,"广东中科招商创业投资管理有限责任公司","广东中科白云投资管理有限公司"
50,"广东中科招商创业投资管理有限责任公司","中山中科三乡创业投资有限公司"
51,"广东中科招商创业投资管理有限责任公司","梅州中科客家创业投资有限公司"
52,"广东中科招商创业投资管理有限责任公司","中山中科阜鑫投资管理有限公司"
53,"广东中科招商创业投资管理有限责任公司","中山中科新港创业投资有限公司"
54,"广东中科招商创业投资管理有限责任公司","珠海横琴中科浏阳河创业投资合伙企业（有限合伙）"
55,"广东中科招商创业投资管理有限责任公司","湖南中科浏阳河创业投资有限公司"
56,"广东中科招商创业投资管理有限责任公司","广东中科云港投资合伙企业（有限合伙）"
57,"广东中科招商创业投资管理有限责任公司","中山中科恒业投资管理有限公司"
58,"广东中科招商创业投资管理有限责任公司","中山中科创业投资有限公司"
59,"广东中科招商创业投资管理有限责任公司","珠海横琴中科白云股权投资基金合伙企业（有限合伙）"
60,"广东中科招商创业投资管理有限责任公司","珠海横琴中科粤湘创业投资合伙企业（有限合伙）"
61,"广东中科招商创业投资管理有限责任公司","珠海横琴中科天目创业投资合伙企业（有限合伙）"
62,"广东中科招商创业投资管理有限责任公司","佛山中科金禅智慧产业股权投资合伙企业（有限合伙）"
63,"广东中科招商创业投资管理有限责任公司","珠海横琴中科二十一世纪文化传媒产业创业投资基金合伙企业（有限合伙）"
64,"广东中科招商创业投资管理有限责任公司","珠海横琴勇华环保产业投资合伙企业（有限合伙）"
65,"广东中科招商创业投资管理有限责任公司","珠海横琴中科华阳产业投资合伙企业（有限合伙）"
66,"广东中科招商创业投资管理有限责任公司","广州天河中科一号创业投资基金合伙企业（有限合伙）"
67,"广东中科招商创业投资管理有限责任公司","珠海横琴中科白云中证股权投资合伙企业（有限合伙）"
68,"广东中科招商创业投资管理有限责任公司","广东中科招商沃土一号创业投资基金合伙企业（有限合伙）"
69,"上海复星创富投资管理股份有限公司","上海复星创富股权投资基金合伙企业（有限合伙）"
70,"上海复星创富投资管理股份有限公司","上海复星惟实一期股权投资基金合伙企业（有限合伙）"
71,"上海复星创富投资管理股份有限公司","杭州浙商成长股权投资基金合伙企业（有限合伙）"
